"filename", "language", "JSON", "JSON with Comments", "HTML", "JavaScript", "Markdown", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Development\Projects\Active\bitogram\bitogram-web\README.md", "Markdown", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 14, 74
"c:\Development\Projects\Active\bitogram\bitogram-web\eslint.config.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Development\Projects\Active\bitogram\bitogram-web\index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Development\Projects\Active\bitogram\bitogram-web\package-lock.json", "JSON", 7522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7523
"c:\Development\Projects\Active\bitogram\bitogram-web\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Development\Projects\Active\bitogram\bitogram-web\public\logo-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 2, 25
"c:\Development\Projects\Active\bitogram\bitogram-web\public\service-worker.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Development\Projects\Active\bitogram\bitogram-web\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Development\Projects\Active\bitogram\bitogram-web\src\Router.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 9, 83
"c:\Development\Projects\Active\bitogram\bitogram-web\src\components\background\Input.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"c:\Development\Projects\Active\bitogram\bitogram-web\src\components\background\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Development\Projects\Active\bitogram\bitogram-web\src\components\surface\Input.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Development\Projects\Active\bitogram\bitogram-web\src\components\surface\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"c:\Development\Projects\Active\bitogram\bitogram-web\src\components\surface\Textarea.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Development\Projects\Active\bitogram\bitogram-web\src\components\surface\Textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"c:\Development\Projects\Active\bitogram\bitogram-web\src\contexts\PacketManagerContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 440, 0, 0, 57, 497
